token count
as: 15499
think: 4517
suffering: 123
some: 6620
jews: 860
during: 860
wwii: 60
crimes: 151
commited: 32
any: 7014
attempt: 275
call: 1058
civil: 291
liberterians: 6
myself: 512
anti: 500
semetic: 8
appreciated: 397
suffered: 93
just: 5592
our: 2492
beloved: 22
who: 6375
perished: 17
tortured: 29
we: 8132
second: 1211
name: 1336
calling: 223
was: 13594
directed: 80
against: 1303
libertarians: 71
general: 953
your: 7614
dropping: 41
fancy: 75
sounding: 41
political: 503
term: 351
yet: 935
another: 1694
cite: 58
order: 1027
obfuscate: 17
glaring: 13
unpreparedness: 4
go: 2408
back: 2020
minors: 50
junior: 37
space: 1677
cadet: 2
exact: 195
million: 405
readers: 157
enlightened: 12
serdar: 259
argic: 254
nntp: 4803
posting: 5503
host: 4956
evenwood: 1
computing: 390
laboratory: 321
u: 570
newcastle: 7
upon: 453
tyne: 3
uk: 340
dog: 185
andrew: 407
varvel: 2
aka: 107
merciful: 17
compassionate: 8
argics: 8
bountiful: 3
divine: 120
knowing: 189
footnoted: 2
wisdom: 125
regrettably: 2
omitted: 31
solemn: 6
tribute: 7
where: 2672
can: 9605
join: 144
fan: 298
club: 216
do: 8635
get: 4944
t: 610
shirt: 19
friendly: 85
neighborhood: 37
alien: 35
hasnt: 165
been: 4521
same: 2417
since: 2067
david: 1525
koresh: 248
died: 281
ah: 86
cmon: 18
give: 1378
guy: 493
see: 3037
what: 9320
comes: 680
leo: 56
disclaimer: 396
wasnt: 464
honest: 128
email: 1074
him: 2104
he: 7567
made: 1621
shai: 43
guday: 39
basil: 33
opinions: 892
water: 451
on: 20352
brain: 216
thinking: 463
machines: 415
corporation: 487
cambridge: 246
ma: 450
usa: 1790
distribution: 2766
world: 2486
composerthinkcom: 15
alan: 224
stein: 53
guess: 624
hasan: 44
finally: 332
revealed: 96
source: 864
his: 4449
claim: 636
israel: 882
diverted: 14
imagination: 49
h: 493
mr: 1029
head: 506
rivers: 19
fact: 1395
went: 698
into: 3077
southern: 183
make: 2886
sure: 1697
no: 7330
being: 2451
used: 2443
side: 721
so: 7625
would: 8893
run: 1251
jordan: 82
river: 82
there: 8913
will: 9246
use: 4168
#$&&: 4
course: 1307
hard: 1241
evidence: 814
facts: 227
much: 2865
difficult: 324
have: 18054
bothered: 57
substantiate: 18
way: 2995
support: 1157
imagine: 310
news: 1075
report: 375
ancient: 149
times: 973
had: 4629
writing: 258
newsflash: 3
cairo: 9
ap: 33
press: 552
today: 855
denied: 75
egypt: 49
acces: 2
red: 444
sea: 160
typical: 202
display: 589
israelite: 6
agressiveness: 2
leader: 129
slave: 122
revolt: 22
former: 266
prince: 84
moses: 29
parted: 8
action: 417
estimated: 48
caused: 240
irreparable: 3
damage: 170
environment: 269
egyptian: 22
authorities: 157
thousands: 209
fisherman: 5
their: 5465
livelihood: 5
waters: 50
pharaohs: 5
charioteers: 2
successful: 122
glorious: 16
cause: 648
return: 478
normal: 346
state: 1870
unfortunately: 317
they: 12216
heavy: 205
casualties: 36
while: 1773
doing: 975
stealth: 121
bombers: 36
os: 235
software: 1578
engineer: 164
corp: 306
winged: 19
ninjas: 15
skies: 30
cetin: 4
kaya: 4
koc: 8
seventh: 48
century: 186
ad: 260
armenian: 716
math: 188
problems: 1094
college: 624
engineering: 643
oregon: 78
rizeeceorstedu: 1
problem: 2211
father: 331
told: 775
following: 981
story: 384
famous: 98
wars: 128
between: 1490
armenians: 616
persians: 30
zaurak: 7
kamsarakan: 8
performed: 106
extraordinary: 31
heroic: 16
deeds: 59
single: 648
month: 287
attacked: 91
persian: 42
troops: 176
time: 4051
struck: 67
down: 1629
half: 414
army: 253
pursuing: 34
slaughtered: 33
one: 8850
fourth: 121
third: 529
destroyed: 108
eleventh: 7
still: 2023
alive: 194
numbering: 12
hundred: 141
eighty: 12
fled: 41
nakhichevan: 6
remainder: 25
find: 1889
how: 5207
many: 2936
massacre: 103
answer: 777
corollary: 6
strike: 78
slaughter: 68
destroy: 106
after: 2420
innocent: 218
asala: 17
network: 576
claims: 324
jonas: 32
flygare: 17
israelis: 151
march: 260
control: 996
teknikum: 2
uppsala: 16
frejteknikumuuse: 2
s: 853
mon: 198
stuff: 741
deleted: 376
wrote: 900
names: 293
giving: 301
title: 306
read: 1675
paragraph: 93
above: 1015
accept: 442
let: 1090
um: 39
well: 3624
debate: 125
again: 1357
replies: 136
didnot: 13
master: 216
clling: 2
too: 2247
unless: 609
consider: 626
yourself: 390
deserve: 106
less: 980
referring: 96
someone: 1516
else: 1016
given: 898
did: 2428
ask: 821
hence: 135
expect: 423
tell: 1300
wsidom: 3
replied: 60
insist: 65
namestitles: 3
could: 3493
at: 10981
least: 1306
spell: 59
them: 4802
correctly: 167
sigh: 51
gloats: 1
confuse: 35
ha: 67
hey: 259
hell: 714
bent: 28
retarding: 1
childhood: 14
intentionally: 43
neglecting: 14
important: 690
whole: 761
presence: 122
occupied: 152
territories: 73
illegitimate: 15
actions: 279
courts: 77
laws: 505
ground: 469
am: 3285
merely: 208
asking: 361
whether: 866
existance: 41
citicens: 7
wb: 17
gaza: 120
invalidates: 7
those: 2888
individuals: 238
right: 2728
trying: 966
retaliate: 5
here: 2467
really: 2176
try: 1246
apologize: 55
repeat: 117
live: 733
eloquently: 10
put: 1266
human: 856
question: 1860
which: 6058
law: 1544
should: 3622
later: 659
also: 4298
adressed: 4
rights: 762
statement: 472
doesnot: 9
say: 2700
existence: 376
citizens: 323
revoke: 14
but: 13323
says: 1225
somemost: 4
basically: 272
revokes: 4
military: 481
clearly: 387
undeclared: 6
war: 714
attacks: 244
targets: 80
fully: 215
legitimate: 170
ok: 519
phrase: 102
repeatedly: 62
asked: 561
palestinians: 116
why: 3226
directly: 323
adress: 16
inferred: 7
thought: 1000
together: 430
then: 3942
assumed: 90
reason: 1038
id: 2125
define: 185
drag: 89
out: 6185
procedure: 88
neccesary: 3
secondly: 56
surely: 162
goverment: 51
protect: 356
withdrawing: 4
terretories: 5
further: 432
oppressing: 7
palestinean: 15
sorry: 530
sentence: 120
does: 4126
sense: 545
please: 2141
rephrase: 3
deprive: 12
living: 376
because: 3338
states: 754
oppressive: 14
tyrant: 11
syrians: 17
iraqis: 11
others: 1018
hama: 4
sound: 523
familiar: 128
kurds: 69
iraq: 41
turkey: 355
sweden: 145
bit: 1575
farfetched: 2
russians: 93
baltic: 4
moslem: 49
old: 1204
ussr: 45
yugoslavia: 27
serbs: 67
remainaing: 2
according: 433
system: 2729
propose: 55
solve: 111
minister: 80
sharon: 28
kick: 47
palestineans: 26
palestine: 121
preserve: 48
involved: 409
obvious: 313
wont: 684
mistake: 158
now: 3188
straightened: 8
eagerly: 10
awaiting: 19
agree: 689
solution: 339
wouldnot: 3
understanding: 270
agreeing: 16
proper: 242
probably: 1374
lead: 280
disaster: 47
both: 1733
parties: 145
thats: 1492
refer: 144
joseph: 249
weitz: 7
administrator: 60
responsible: 269
colonization: 16
best: 1365
diary: 10
ourselves: 116
must: 1831
clear: 529
room: 308
peoples: 169
country: 598
shall: 381
achieve: 74
goal: 355
independent: 234
arabs: 201
small: 799
western: 521
west: 318
other: 5152
transfer: 264
neighbouring: 7
countries: 261
village: 117
tribe: 22
left: 969
able: 1012
absorb: 15
millions: 131
own: 1735
brethren: 17
davar: 4
september: 59
courtesy: 54
marc: 209
afifi: 15
rather: 1136
references: 241
getting: 885
plo: 45
covenant: 37
hamas: 38
charter: 50
english: 196
translations: 43
information: 1963
interested: 753
translate: 32
credence: 12
private: 586
paper: 317
even: 3268
older: 177
going: 2016
fairly: 257
conflict: 153
share: 220
fanatics: 29
lasting: 24
peace: 442
region: 121
exactly: 552
govermentis: 1
full: 760
met: 131
personally: 259
diaries: 4
fascinating: 30
either: 1190
refers: 74
zionists: 28
donot: 12
suggest: 340
imperialist: 6
solving: 25
fair: 227
enough: 1258
provided: 270
contradiction: 73
understood: 113
meant: 232
underlined: 4
resolve: 41
justly: 12
unjust: 15
non: 1111
per: 571
definition: 261
holds: 82
property: 207
b: 879
exists: 371
hold: 404
thus: 517
statements: 178
false: 260
takes: 361
logic: 266
land: 426
proving: 29
bad: 1028
pointing: 77
flaw: 28
reasoning: 149
logical: 145
felt: 145
started: 622
using: 1898
prove: 288
assume: 449
greatest: 94
zionism: 69
children: 753
rabbi: 19
shoham: 7
add: 439
these: 3671
cute: 40
quotes: 125
end: 1186
real: 1232
bummer: 6
posts: 277
credit: 144
ashamed: 25
things: 1794
believe: 2023
zionist: 50
codes: 85
acts: 233
yes: 1018
racism: 65
drop: 182
condemning: 27
racist: 64
quote: 264
misused: 13
especially: 543
stereotype: 11
individual: 342
methods: 184
advice: 327
anything: 1398
loyalties: 5
vile: 4
inhuman: 12
ill: 908
long: 1573
mean: 1112
leaders: 164
andor: 224
religious: 439
need: 2401
condemn: 42
instead: 638
based: 1053
bombings: 10
+: 3237
wherever: 32
vktargatan: 2
sweden+: 2
kaantimucin: 9
public: 1407
service: 607
translation: 161
keywords: 964
effective: 282
greek: 352
&: 1641
postings: 221
georgia: 294
institute: 783
technology: 1154
davidian: 125
talks: 140
yo: 25
better: 1786
f: 458
attitute: 3
lies: 136
shit: 106
didnt: 1453
saying: 724
mess: 69
turc: 3
ya: 76
timucin: 7
atlanta: 156
uucp: 177
internet: 1046
wasgo: 31
hezbollah: 70
calif: 44
univelectronic: 13
services: 594
dorin: 34
baru: 15
extemist: 2
sided: 27
jewishisraeli: 2
certainly: 633
disagree: 177
openly: 28
plain: 133
murder: 260
talking: 571
bunch: 209
farmers: 19
detonate: 5
bombs: 23
work: 2355
organized: 161
entity: 50
trained: 54
mercenaries: 5
curious: 157
killings: 37
hundreds: 130
marines: 15
beirut: 12
kind: 852
movement: 148
attlets: 2
munich: 28
liked: 76
posted: 524
garbage: 73
seem: 839
consistent: 134
lets: 587
forget: 294
distinction: 53
trivial: 62
happens: 299
whose: 299
line: 1291
kill: 469
happened: 504
duty: 130
opposition: 71
different: 1291
terrorism: 116
athletes: 14
victims: 109
terrorists: 89
though: 1180
might: 1755
freedom: 343
fighters: 36
cannot: 837
compared: 210
french: 145
occupying: 36
eventually: 182
succeeded: 31
driving: 274
hostile: 55
occupiers: 6
diplomacy: 15
has: 7512
worked: 278
tired: 84
turning: 115
option: 263
viable: 25
us: 3421
narrow: 51
minded: 50
through: 1633
crack: 76
door: 265
eyes: 199
yours: 187
employer: 139
accounts: 130
violations: 71
azerbaijan: 172
summary: 597
prelude: 30
current: 844
events: 305
nagorno: 58
karabakh: 96
sdpa: 75
center: 1151
regional: 102
studies: 318
whats: 508
matter: 691
cant: 1759
theyve: 156
overturned: 14
car: 1281
theyre: 565
killing: 258
deposition: 9
zaven: 1
armenakovich: 1
badasian: 1
born: 224
employed: 39
sumgait: 114
bulk: 26
yarn: 2
plant: 84
resident: 47
building: 409
apartment: 156
microdistrict: 33
february: 129
wife: 276
baku: 89
shopping: 35
returned: 137
around: 1398
five: 315
evening: 79
ran: 159
relatives: 48
bus: 519
station: 350
got: 1625
lot: 1236
gathered: 61
far: 1207
away: 912
near: 433
store: 177
happening: 165
fellow: 118
azerbaijani: 126
standing: 144
home: 909
immediately: 187
helped: 113
catch: 100
cab: 12
safely: 36
sat: 114
gang: 100
bandits: 16
came: 767
courtyard: 25
neighbors: 134
wouldnt: 659
sticks: 34
pieces: 85
armatures: 1
hands: 267
shouting: 53
couldnt: 389
understand: 667
voice: 405
chorus: 19
turned: 252
toward: 182
floor: 140
breaking: 85
glass: 62
throwing: 67
window: 1106
come: 1458
entryway: 26
pair: 98
jeans: 19
tape: 392
recorder: 21
guitar: 33
auto: 231
parts: 423
save: 398
midnight: 27
hide: 96
school: 618
families: 70
altogether: 41
known: 626
ernest: 8
moved: 180
kirovabad: 1
guard: 83
want: 2515
nowhere: 76
plead: 4
talk: 480
day: 1441
attack: 348
upstairs: 23
classroom: 11
city: 601
radio: 495
announced: 176
telephone: 211
numbers: 576
summon: 2
assistance: 92
communicate: 39
called: 1153
secretary: 172
party: 300
committee: 229
answered: 114
evacuated: 16
wait: 302
sending: 149
help: 1902
spoken: 52
muslimzade: 11
hours: 280
heard: 933
shouts: 11
looked: 342
outside: 386
clubs: 31
axes: 39
armature: 8
shafts: 12
value: 504
youll: 354
pointed: 158
hand: 742
noise: 164
mob: 53
set: 1297
off: 2063
direction: 163
promised: 74
sent: 410
positive: 179
seen: 957
entering: 70
knew: 306
case: 1654
stayed: 61
until: 823
seven: 139
morning: 205
sort: 580
aid: 156
took: 586
sk: 48
jammed: 9
lots: 346
ahead: 183
available: 1578
boy: 147
months: 425
arms: 347
doctor: 239
nothing: 1126
uninjured: 1
wounds: 22
bruises: 4
gave: 336
mouth: 128
resuscitation: 1
everything: 707
circumstances: 93
unable: 121
mother: 244
young: 483
couple: 587
searched: 33
spot: 133
child: 349
wanted: 655
family: 383
bandaged: 4
canes: 1
limping: 2
heads: 144
broken: 141
open: 729
terrible: 107
sight: 63
guys: 281
everyone: 674
beaten: 38
crying: 34
wailing: 11
ignored: 66
completely: 365
true: 1369
snack: 5
bar: 120
sausage: 4
kopeks: 3
package: 610
cookies: 11
cost: 675
sold: 233
bottled: 2
soft: 89
drink: 117
ruble: 1
cheaper: 170
uncle: 39
aram: 2
mikhailovich: 4
saw: 550
tears: 23
welled: 1
always: 995
azerbaijanis: 68
over: 2430
house: 662
cried: 25
feelings: 70
april: 748
yerevan: 24
reference: 397
tragedy: 52
pogroms: 11
soviet: 309
volume: 255
eyewitness: 15
edited: 45
samuel: 45
shahmuradian: 9
forward: 214
yelena: 9
bonner: 12
published: 287
aristide: 9
d: 1048
caratzas: 9
ny: 388
pages: 194
armenia: 376
learned: 142
lesson: 39
anatolia: 39
forgotten: 44
po: 226
box: 675
punishment: 144
inflicted: 17
late: 294
turkish: 740
president: 798
turgut: 7
ozal: 12
islam: 275
borders: 92
vs: 702
originator: 303
haleymcrcimmcgilledu: 3
mcgill: 73
research: 1222
centre: 147
intelligent: 101
yon: 4
bonnie: 7
laird: 7
cairn: 4
robbing: 18
ilyess: 10
bdira: 10
god: 2601
founders: 20
secular: 76
inhabitants: 74
g: 565
united: 440
nations: 155
quite: 929
purchased: 117
absentee: 6
landlords: 11
present: 402
prior: 148
ownership: 78
purchase: 214
aforementioned: 12
award: 77
partition: 29
mandate: 40
result: 416
defensive: 150
fought: 40
egyptians: 14
jordanians: 4
et: 182
al: 455
speak: 381
bank: 178
theirs: 40
part: 1491
idea: 893
however: 1425
thusly: 3
spoils: 4
hussein: 43
ordered: 122
legion: 11
funny: 137
anyway: 626
suppose: 249
till: 76
explain: 425
syria: 74
enter: 124
implying: 25
behind: 436
capture: 54
sinai: 9
poor: 272
move: 424
seeing: 218
promptly: 21
kicked: 33
butt: 43
therefore: 487
forefeit: 2
retaining: 6
possession: 60
desirable: 41
beats: 52
national: 1005
suicide: 78
tel: 200
aviv: 17
belongs: 51
future: 478
affairs: 77
continues: 84
seems: 1299
launch: 357
entire: 315
idiotic: 19
froma: 2
security: 624
standpoint: 21
addition: 289
jerusalem: 118
considered: 480
chances: 117
nil: 9
leftists: 7
yasser: 8
cool: 139
dude: 20
yossi: 8
sarid: 5
arent: 468
hed: 78
town: 217
rail: 23
chag: 2
sameach: 2
jeff: 247
jake: 79
livni: 64
symbiotics: 4
antisemitism: 9
department: 792
redundancy: 38
note: 902
regarding: 259
appropriation: 5
history: 605
propaganda: 109
semitism: 38
impossible: 229
agrees: 32
basic: 358
tenet: 5
namely: 57
decided: 314
zion: 7
gentile: 30
rein: 17
early: 469
actually: 1190
granted: 117
citizenship: 57
christian: 899
muslim: 273
elias: 50
wrong: 1057
rest: 483
isnt: 1001
worth: 441
ta: 36
ten: 295
years: 1995
george: 354
bush: 154
american: 890
new: 3927
york: 530
replaced: 181
jimmy: 63
carter: 85
standard: 843
failed: 228
bulent: 5
murtezaoglu: 5
shoot: 136
planes: 120
tue: 95
veincsrochesteredu: 3
rochester: 186
henrik: 109
turks: 337
azeris: 87
consistantly: 8
bm: 73
gimme: 8
break: 315
capital: 164
letters: 132
pure: 96
nonsense: 70
short: 516
sighted: 18
escalating: 13
hostilities: 10
henrikagain: 1
simply: 669
defending: 63
themselves: 543
henrikwant: 1
lay: 118
walk: 118
reports: 290
ive: 1814
otherwise: 402
location: 143
motives: 28
wise: 118
caps: 109
change: 793
hoping: 91
stay: 263
stop: 536
moment: 198
doesnt: 1530
anyone: 2428
her: 1071
begining: 7
engaged: 63
training: 222
militarily: 18
fight: 200
karabakhi: 10
start: 874
defense: 449
etc: 1574
iswas: 4
lived: 196
homeland: 66
cut: 424
stalin: 45
azeri: 82
aggression: 28
huh: 100
fighting: 155
within: 579
sad: 113
remember: 845
relocated: 5
regime: 55
bloodshed: 9
n: 660
last: 1860
insists: 32
crisis: 48
cyprus: 107
invasion: 63
occur: 139
youre: 1095
playing: 270
deck: 38
invade: 24
speculate: 31
stepped: 14
she: 1123
realize: 261
local: 798
clash: 6
wished: 17
happen: 436
plans: 115
economic: 205
revival: 2
co: 316
operation: 236
good: 3732
words: 545
happy: 313
bicker: 1
trade: 303
barriers: 10
usenet: 329
whom: 216
detest: 2
buzzword: 4
scg: 3
header: 94
hopes: 44
netters: 100
jump: 99
gun: 1160
absolutely: 221
emphasize: 24
cases: 429
repeats: 8
itself: 473
buys: 18
implicit: 20
premise: 55
sane: 19
thing: 1524
provoke: 8
done: 1028
thered: 17
democratic: 85
idiots: 45
athens: 124
everybody: 195
wish: 339
quarrel: 8
suspect: 259
accurate: 159
palatable: 4
indeed: 341
prowess: 10
intervene: 18
wishes: 63
diplomatic: 21
power: 1487
bring: 299
negotiating: 28
table: 217
attacking: 70
towns: 37
wants: 378
peaceful: 37
death: 596
destruction: 87
allow: 426
henrikto: 1
sit: 114
watch: 295
defend: 129
yourseffat: 2
chance: 367
childish: 17
rhetoric: 25
anthing: 1
barberian: 2
mothers: 47
burning: 99
description: 192
similar: 596
perpetrated: 20
hash: 51
often: 678
keep: 1060
hatred: 62
lacking: 40
statesmanship: 3
recognize: 165
bmfutility: 1
armed: 177
convince: 127
nation: 174
compromise: 114
leads: 152
stability: 18
faits: 3
accomplis: 3
incessant: 5
skirmishes: 3
republic: 107
taken: 526
obviously: 324
anywhere: 185
newly: 36
develop: 158
economically: 20
neither: 309
wipe: 18
blood: 333
minimal: 71
aggresion: 2
exchange: 117
slogans: 7
furthermore: 107
condusive: 2
spend: 217
nights: 51
raving: 9
position: 503
therell: 2
whod: 10
arguing: 95
entrenched: 8
positions: 114
strong: 477
exercise: 92
whatever: 473
style: 214
foreign: 185
relations: 108
type: 724
atrocity: 8
stories: 140
willing: 370
choose: 250
shouldnt: 269
belong: 84
diaspora: 13
mind: 635
strikes: 40
map: 124
costing: 26
dearly: 9
terms: 302
taking: 437
turns: 145
intension: 2
grab: 62
maps: 58
theyd: 103
likely: 575
reached: 120
manner: 135
easy: 504
comfortable: 57
abroad: 38
propagandize: 3
craziness: 4
tickled: 4
k: 414
hate: 212
sooner: 51
theres: 732
push: 114
hitting: 113
lock: 154
spreading: 33
inflammatory: 34
truths: 69
decide: 210
initiative: 102
look: 1503
spew: 6
mis: 32
boogey: 1
man: 985
avoid: 334
nastiness: 3
meantime: 29
take: 1866
care: 662
wiped: 21
era: 108
massacres: 54
boys: 70
girls: 67
nasty: 56
overwhelmed: 7
anger: 60
kids: 236
hateful: 9
sounds: 335
crazy: 112
peggy: 2
boucher: 6
murphy: 67
memorial: 72
museum: 64
costly: 37
dangerous: 251
chicago: 425
steven: 187
smith: 447
dan: 332
gannon: 7
theodore: 70
okeefe: 12
revisionism: 20
editor: 155
historical: 164
review: 222
educated: 48
harvard: 95
alumni: 6
directory: 401
graduate: 73
may: 3275
yourselves: 22
forgive: 48
inaccuracies: 7
original: 706
post: 1150
person: 983
book: 849
censured: 2
canada: 698
few: 1472
peg: 13
treatment: 223
vitaly: 3
nikolayevich: 1
danielian: 5
attended: 32
grade: 72
oclock: 53
excused: 5
leave: 402
period: 548
fine: 519
usual: 169
groups: 543
discussing: 94
soccer: 24
bound: 104
cousins: 8
birthday: 28
spent: 209
somewhere: 277
pm: 170
figuring: 31
homework: 11
next: 1110
high: 1237
rises: 6
stopped: 156
large: 798
crowd: 107
demanded: 27
driver: 553
board: 551
begins: 65
shout: 20
group: 1286
doors: 88
checking: 135
passports: 11
road: 449
packed: 25
block: 279
emptying: 4
pockets: 35
cars: 486
great: 1271
driveways: 8
yelling: 14
written: 522
l: 769
shaped: 52
quiet: 70
turn: 517
lights: 127
tried: 607
warn: 38
due: 458
arrive: 31
wednesday: 68
knock: 59
advised: 22
led: 233
basement: 29
across: 285
balcony: 33
woman: 233
naked: 24
daughter: 107
stepanakert: 4
allegedly: 25
agdam: 32
raped: 35
looking: 1013
iron: 46
grating: 4
papa: 21
watched: 79
fire: 487
approached: 21
driveway: 16
shown: 190
apartments: 25
werent: 157
wing: 97
appeared: 111
found: 1026
yuri: 11
avakian: 1
light: 529
gather: 47
relative: 104
already: 846
phone: 870
rang: 2
caller: 17
jeykhun: 2
mamedov: 11
fathers: 87
brigade: 9
disgusted: 9
address: 775
minutes: 265
bursting: 6
broke: 97
straight: 241
resist: 42
parents: 175
began: 155
surname: 4
page: 333
alone: 311
doom: 36
quickly: 201
pushed: 73
keys: 580
piano: 11
tolled: 1
knives: 48
steel: 71
truncheons: 1
knife: 83
worse: 317
commanded: 22
orders: 129
outdoors: 9
shed: 55
faster: 325
fell: 96
hit: 485
beating: 77
realized: 92
useless: 97
balconies: 10
surrounds: 3
knocked: 41
beat: 221
lose: 200
consciousness: 31
cold: 209
pick: 319
lying: 104
gone: 288
watching: 167
arm: 140
drive: 1591
wanting: 49
ambulance: 26
bodies: 132
warm: 54
regain: 13
stairs: 9
neighbor: 99
puts: 85
damp: 4
cloth: 19
sends: 24
arrived: 81
blows: 29
calm: 35
picked: 123
dead: 523
received: 360
possible: 1199
policemen: 31
clothing: 41
assistants: 6
arrives: 11
emergency: 77
hospital: 161
stitch: 1
rebind: 1
ward: 64
nearly: 176
overflowing: 3
flipped: 12
semashko: 2
released: 193
moscow: 72
treated: 113
brother: 158
nikolai: 1
artemovich: 1
seda: 1
osipovna: 1
pmk: 1
roofing: 1
mamma: 85
compressor: 18
operator: 87
coroners: 1
stated: 292
smashed: 9
bled: 4
profusely: 2
confrontation: 14
tipped: 6
specifically: 225
dispatch: 8
number: 1705
denies: 38
automobiles: 26
earlier: 251
convicted: 52
served: 92
suspended: 30
confessed: 11
percent: 176
karabagh: 61
badar: 1
elder: 7
brothers: 110
student: 241
naval: 99
graduated: 6
virgin: 58
lands: 54
gigantic: 10
agricultural: 24
projects: 128
instituted: 13
khrushchev: 1
helping: 66
construction: 86
dagdagan: 1
bookstore: 27
site: 391
sister: 60
lives: 289
husband: 89
loved: 71
dream: 97
continue: 327
finished: 104
nautical: 3
changed: 300
recon: 2
sider: 3
finish: 96
planning: 106
navy: 94
almost: 680
dreamed: 7
sailor: 3
recollected: 1
youth: 59
telling: 178
big: 921
leaving: 122
plan: 334
grandfather: 15
ancestors: 18
fates: 5
ishkhan: 1
trdatov: 1
managed: 117
residence: 29
lost: 475
gabriel: 22
miracle: 58
survive: 81
sasha: 10
besides: 217
valery: 11
forgot: 98
year: 1901
younger: 47
riding: 189
rocks: 86
brought: 296
friends: 308
each: 1421
befallen: 1
misfortune: 6
suren: 2
harutunian: 1
communist: 46
television: 82
glad: 125
agreed: 117
socialist: 29
repelled: 1
revolted: 6
announcer: 20
decision: 236
supreme: 92
presidium: 1
becoming: 98
peacefully: 11
constant: 103
headaches: 35
strength: 90
suzanna: 3
justice: 235
prevail: 10
demanding: 28
spoke: 85
visited: 35
vacations: 2
removing: 86
mistakes: 85
corrected: 43
correct: 569
repeated: 92
fate: 42
june: 164
border: 148
mp: 68
paul: 680
pimentel: 10
gives: 333
isreal: 20
jeruseleum: 6
religion: 563
among: 507
myriad: 11
ethnic: 97
nyc: 79
comparable: 69
strip: 106
controlling: 40
authority: 312
pleased: 46
punch: 17
unload: 8
heck: 86
nobody: 244
ever: 940
mentions: 38
yitzak: 1
shamir: 24
forty: 36
fifty: 41
terrorize: 7
westerners: 11
abdul: 8
nidal: 11
isrealis: 7
jerusaleum: 6
bullshit: 55
british: 233
incidentally: 29
shipped: 44
shiploads: 1
nazis: 149
extermination: 112
hung: 74
captured: 44
deal: 534
anymore: 141
airliners: 6
cruise: 37
ships: 64
airports: 8
sports: 162
movie: 115
theaters: 4
markets: 44
buses: 31
schoolyards: 1
comparison: 154
murderer: 32
abu: 26
blind: 110
casperdavippe: 9
congress: 338
letter: 296
clinton: 537
vaxvms: 160
vnews: 147
european: 218
nuclear: 281
cern: 14
ken: 263
arromdee: 34
fixation: 13
bosnia: 126
intervention: 57
somalia: 38
counter: 97
example: 1038
staunch: 9
republican: 45
btw: 296
irony: 22
arguments: 252
vietnam: 42
escaped: 45
opposed: 140
reasons: 358
although: 635
risky: 16
desire: 111
applies: 112
misunderstood: 14
interest: 372
risking: 8
servicemen: 2
crises: 1
risks: 67
greater: 205
send: 1062
opposite: 100
theory: 390
predict: 41
similarly: 96
muslims: 235
christians: 689
predicts: 17
misunderstand: 21
overly: 29
fond: 9
word: 778
phenomenon: 41
race: 235
related: 428
perhaps: 782
subtle: 29
grasp: 42
outrage: 19
yugoslavian: 2
situation: 475
closer: 134
identify: 95
relentlessly: 1
harped: 2
media: 409
preferred: 62
presentation: 56
psychological: 58
factors: 92
doubt: 384
despite: 175
intervened: 13
level: 580
devoted: 40
considerably: 45
newspapers: 67
tv: 410
guide: 179
dave: 523
defenseless: 15
pregnant: 32
